,cut_date,minute,shots_off_target_1,shots_off_target_2,blocked_shots_1,blocked_shots_2,bi_ chances_1,bi_ chances_2,big_chances_missed_1,big_chances_missed_2,hit_woodwork_1,hit_woodwork_2,counter_attacks_1,counter_attacks_2,counter_attack_shots_1,counter_attack_shots_2,counter_attack_goals_1,counter_attack_goals_2,shots_inside_box_1,shots_inside_box_2,shots_outside_box_1,shots_outside_box_2,goalkeeper_saves_1,goalkeeper_saves_2,goals_prevented_1,goals_prevented_2,accurate_passes_1,accurate_passes_2,long_balls_1,long_balls_2,Crosses_1,Crosses_2,Dribbles_1,Dribbles_2,Possession_lost_1,Possession_lost_2,Duels_won_1,Duels_won_2,Aerials_won_1,Aerials_won_2,Clearances_1,Clearances_2
1,2024-02-05 14:36:46,nan,3.0,7.0,4.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,6.0,7.0,3.0,9.0,4.0,0.0,,,275.0,367.0,32|67,32|58,2|7,7|18,13|17,16|30,141.0,143.0,63.0,57.0,14.0,17.0,25.0,14.0
2,2024-02-05 14:36:48,nan,3.0,4.0,2.0,4.0,0.0,1.0,,,,,,,,,,,1.0,4.0,6.0,8.0,3.0,1.0,,,197.0,283.0,16|51,22|43,2|17,5|24,9|17,8|24,124.0,122.0,52.0,50.0,8.0,13.0,25.0,23.0
3,2024-02-05 14:36:49,nan,4.0,7.0,0.0,4.0,1.0,2.0,0.0,1.0,,,,,,,,,6.0,14.0,1.0,2.0,3.0,2.0,,,183.0,503.0,15|40,47|67,2|11,9|41,8|18,5|14,118.0,129.0,51.0,50.0,14.0,17.0,26.0,15.0
4,2024-02-05 14:36:51,nan,7.0,5.0,5.0,3.0,5.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,15.0,7.0,6.0,2.0,1.0,6.0,,,275.0,316.0,37|60,32|60,4|14,7|17,13|25,8|13,130.0,112.0,61.0,53.0,24.0,12.0,7.0,24.0
5,2024-02-05 14:36:53,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,,
6,2024-02-05 14:36:54,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,,
7,2024-02-05 14:36:56,nan,7.0,7.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,,8.0,7.0,5.0,3.0,2.0,2.0,,,333.0,210.0,27|61,23|60,8|23,6|15,10|19,14|27,135.0,142.0,61.0,61.0,15.0,14.0,13.0,17.0
8,2024-02-05 14:36:57,nan,2.0,3.0,0.0,5.0,,,,,1.0,0.0,2.0,0.0,,,,,5.0,2.0,2.0,8.0,3.0,2.0,,,159.0,313.0,28|47,35|50,5|10,4|12,10|16,16|29,96.0,102.0,78.0,65.0,28.0,15.0,15.0,9.0
9,2024-02-05 14:36:59,nan,5.0,2.0,2.0,3.0,,,,,0.0,0.0,0.0,1.0,,,,,6.0,3.0,5.0,4.0,1.0,4.0,,,185.0,269.0,41|66,38|80,2|12,6|21,16|22,9|15,132.0,128.0,102.0,102.0,39.0,37.0,27.0,9.0
10,2024-02-05 14:37:01,nan,4.0,4.0,3.0,2.0,,,,,0.0,0.0,1.0,0.0,,,,,6.0,8.0,4.0,3.0,5.0,2.0,,,324.0,208.0,38|57,32|46,4|15,5|19,13|16,12|19,105.0,114.0,89.0,81.0,20.0,19.0,17.0,15.0
11,2024-02-05 14:37:02,nan,8.0,5.0,6.0,3.0,1.0,2.0,1.0,1.0,,,1.0,0.0,1.0,0.0,,,6.0,6.0,12.0,3.0,0.0,4.0,,,353.0,285.0,40|57,22|58,3|13,1|12,14|20,6|6,102.0,109.0,58.0,43.0,18.0,7.0,19.0,13.0
12,2024-02-05 14:37:04,nan,6.0,5.0,1.0,6.0,2.0,0.0,1.0,0.0,,,,,,,,,6.0,6.0,4.0,7.0,2.0,2.0,0.33,0.68,232.0,326.0,31|67,21|55,2|13,5|19,3|12,5|14,147.0,162.0,48.0,62.0,17.0,23.0,23.0,15.0
13,2024-02-05 14:37:05,nan,4.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,,,,,,,4.0,6.0,2.0,2.0,3.0,0.0,0.5,-0.61,412.0,127.0,30|52,17|48,4|19,4|11,3|12,5|12,139.0,130.0,43.0,52.0,16.0,21.0,15.0,14.0
14,2024-02-05 14:37:07,nan,6.0,5.0,3.0,5.0,3.0,2.0,,,,,,,,,,,7.0,8.0,8.0,4.0,0.0,2.0,,,296.0,391.0,41|65,32|65,8|19,6|16,6|11,7|9,121.0,140.0,49.0,46.0,9.0,10.0,17.0,14.0
