,cut_date,minute,shots_off_target_1,shots_off_target_2,blocked_shots_1,blocked_shots_2,bi_ chances_1,bi_ chances_2,big_chances_missed_1,big_chances_missed_2,hit_woodwork_1,hit_woodwork_2,counter_attacks_1,counter_attacks_2,counter_attack_shots_1,counter_attack_shots_2,counter_attack_goals_1,counter_attack_goals_2,shots_inside_box_1,shots_inside_box_2,shots_outside_box_1,shots_outside_box_2,goalkeeper_saves_1,goalkeeper_saves_2,goals_prevented_1,goals_prevented_2,accurate_passes_1,accurate_passes_2,long_balls_1,long_balls_2,Crosses_1,Crosses_2,Dribbles_1,Dribbles_2,Possession_lost_1,Possession_lost_2,Duels_won_1,Duels_won_2,Aerials_won_1,Aerials_won_2,Clearances_1,Clearances_2
4243,2024-02-05 12:15:39,nan,4.0,7.0,3.0,9.0,0.0,1.0,,,,,,,,,,,6.0,14.0,2.0,9.0,4.0,0.0,-0.09,-0.61,171.0,930.0,21|55,16|21,1|14,4|22,4|10,15|31,108.0,113.0,44.0,60.0,10.0,18.0,33.0,22.0
4351,2024-02-05 12:18:21,nan,7.0,6.0,6.0,2.0,2.0,5.0,2.0,4.0,,,,,,,,,10.0,8.0,7.0,5.0,4.0,4.0,,,388.0,320.0,37|62,37|69,7|21,2|6,12|27,15|22,179.0,152.0,64.0,84.0,14.0,27.0,4.0,22.0
4398,2024-02-05 12:19:32,nan,4.0,4.0,5.0,6.0,4.0,1.0,3.0,1.0,,,1.0,2.0,1.0,2.0,,,11.0,10.0,1.0,4.0,3.0,1.0,-0.22,-0.79,421.0,242.0,27|67,25|53,1|8,6|20,13|20,4|16,157.0,166.0,56.0,56.0,9.0,22.0,18.0,15.0
4399,2024-02-05 12:19:33,nan,2.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,,,4.0,7.0,1.0,4.0,2.0,1.0,-0.43,0.39,280.0,327.0,16|69,20|80,2|9,3|17,8|17,5|10,206.0,215.0,58.0,75.0,22.0,39.0,21.0,14.0
4400,2024-02-05 12:19:34,nan,9.0,6.0,5.0,4.0,0.0,4.0,0.0,4.0,,,0.0,2.0,0.0,2.0,,,9.0,8.0,7.0,4.0,1.0,2.0,0.28,0.57,644.0,244.0,15|32,32|82,4|25,3|11,11|21,7|12,161.0,135.0,44.0,51.0,17.0,14.0,8.0,20.0
4401,2024-02-05 12:19:36,nan,14.0,1.0,9.0,5.0,4.0,0.0,3.0,0.0,3.0,0.0,,,,,,,19.0,5.0,9.0,4.0,2.0,2.0,-0.43,-0.06,470.0,343.0,34|58,17|46,13|33,2|7,7|14,9|22,141.0,134.0,59.0,53.0,17.0,18.0,8.0,35.0
4402,2024-02-05 12:19:37,nan,1.0,8.0,6.0,4.0,3.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,9.0,10.0,5.0,5.0,2.0,4.0,0.63,0.32,232.0,186.0,7|53,23|67,2|6,15|34,4|7,4|10,137.0,147.0,40.0,38.0,12.0,18.0,25.0,7.0
4403,2024-02-05 12:19:39,nan,3.0,2.0,6.0,1.0,5.0,1.0,2.0,0.0,,,1.0,1.0,1.0,1.0,,,12.0,4.0,3.0,2.0,2.0,2.0,0.04,-0.89,440.0,131.0,36|70,15|62,8|32,2|6,4|14,6|14,181.0,145.0,59.0,66.0,30.0,27.0,6.0,35.0
4404,2024-02-05 12:19:40,nan,4.0,6.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,7.0,7.0,4.0,4.0,4.0,4.0,0.57,-0.04,403.0,254.0,12|48,21|58,2|13,3|16,6|19,12|26,162.0,160.0,57.0,60.0,18.0,19.0,14.0,20.0
4405,2024-02-05 12:19:42,nan,9.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,14.0,2.0,10.0,2.0,1.0,9.0,0.05,-0.73,520.0,149.0,26|53,29|73,5|20,2|15,6|13,13|24,133.0,141.0,54.0,52.0,19.0,15.0,19.0,15.0
4407,2024-02-05 12:19:45,nan,2.0,6.0,2.0,4.0,5.0,0.0,,,,,3.0,0.0,2.0,0.0,2.0,0.0,7.0,6.0,5.0,8.0,4.0,2.0,,,323.0,317.0,34|93,28|87,4|15,8|24,5|6,2|6,177.0,199.0,53.0,59.0,21.0,35.0,30.0,15.0
4408,2024-02-05 12:19:46,nan,6.0,4.0,5.0,3.0,2.0,0.0,,,,,1.0,0.0,1.0,0.0,,,11.0,6.0,4.0,4.0,3.0,2.0,,,428.0,264.0,30|74,31|83,3|13,1|5,10|17,4|7,156.0,159.0,64.0,67.0,30.0,35.0,25.0,12.0
4409,2024-02-05 12:19:48,nan,4.0,4.0,8.0,2.0,1.0,0.0,1.0,0.0,,,,,,,,,7.0,4.0,9.0,2.0,0.0,2.0,,,599.0,206.0,23|58,17|62,5|21,3|15,14|21,5|8,166.0,152.0,59.0,60.0,18.0,15.0,12.0,22.0
4410,2024-02-05 12:19:49,nan,2.0,4.0,2.0,3.0,2.0,1.0,0.0,1.0,,,,,,,,,3.0,2.0,7.0,8.0,3.0,4.0,,,189.0,580.0,35|89,30|61,4|15,2|18,7|15,12|24,141.0,163.0,62.0,57.0,22.0,24.0,22.0,10.0
4411,2024-02-05 12:19:51,nan,8.0,3.0,1.0,5.0,3.0,2.0,3.0,2.0,,,0.0,1.0,0.0,1.0,,,8.0,8.0,7.0,5.0,4.0,5.0,,,226.0,373.0,25|78,24|68,4|21,2|17,3|15,14|23,186.0,182.0,67.0,68.0,27.0,19.0,12.0,29.0
4412,2024-02-05 12:19:52,nan,7.0,2.0,1.0,4.0,2.0,0.0,1.0,0.0,,,0.0,2.0,0.0,2.0,,,10.0,3.0,3.0,6.0,3.0,4.0,,,357.0,344.0,38|85,19|57,3|13,3|16,14|23,5|11,149.0,149.0,60.0,48.0,18.0,7.0,14.0,10.0
4413,2024-02-05 12:19:54,nan,8.0,4.0,8.0,0.0,2.0,4.0,2.0,2.0,,,2.0,1.0,2.0,1.0,,,11.0,5.0,9.0,2.0,1.0,3.0,,,473.0,383.0,35|53,23|65,11|53,3|16,11|18,8|14,152.0,124.0,42.0,53.0,13.0,19.0,7.0,34.0
4414,2024-02-05 12:19:56,nan,3.0,6.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,,,,,,,6.0,9.0,3.0,4.0,4.0,2.0,,,281.0,166.0,22|92,23|85,1|27,5|23,8|18,5|10,250.0,239.0,77.0,79.0,43.0,40.0,36.0,26.0
4415,2024-02-05 12:19:57,nan,8.0,3.0,6.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,12.0,7.0,7.0,3.0,5.0,5.0,,,393.0,269.0,25|62,25|71,11|44,1|6,2|6,5|8,172.0,148.0,47.0,47.0,17.0,15.0,3.0,28.0
4416,2024-02-05 12:19:59,nan,3.0,6.0,8.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,11.0,5.0,5.0,8.0,4.0,5.0,,,347.0,433.0,28|57,19|52,9|28,4|18,5|11,7|19,132.0,132.0,60.0,51.0,27.0,17.0,17.0,27.0
4417,2024-02-05 12:20:01,nan,4.0,5.0,5.0,7.0,3.0,1.0,2.0,1.0,,,0.0,1.0,0.0,1.0,,,7.0,8.0,5.0,8.0,4.0,3.0,,,311.0,219.0,38|105,32|97,1|21,3|13,5|7,3|11,205.0,188.0,54.0,52.0,28.0,24.0,39.0,32.0
4418,2024-02-05 12:20:02,nan,6.0,4.0,3.0,2.0,1.0,5.0,1.0,3.0,0.0,1.0,,,,,,,8.0,10.0,2.0,2.0,2.0,1.0,,,249.0,231.0,29|83,22|83,11|25,4|13,4|10,4|9,183.0,169.0,68.0,52.0,38.0,26.0,11.0,35.0
4419,2024-02-05 12:20:04,nan,5.0,11.0,3.0,6.0,4.0,5.0,1.0,5.0,0.0,1.0,,,,,,,10.0,12.0,6.0,7.0,1.0,5.0,,,206.0,144.0,33|100,21|100,9|23,5|21,5|8,1|12,241.0,248.0,96.0,53.0,66.0,33.0,46.0,18.0
4420,2024-02-05 12:20:05,nan,11.0,2.0,5.0,6.0,1.0,2.0,1.0,2.0,1.0,0.0,,,,,,,12.0,10.0,7.0,4.0,6.0,2.0,,,349.0,268.0,30|70,40|78,1|13,9|29,3|6,14|22,139.0,156.0,59.0,66.0,25.0,28.0,24.0,17.0
4421,2024-02-05 12:20:07,nan,4.0,5.0,6.0,6.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,9.0,18.0,4.0,2.0,7.0,1.0,,,350.0,314.0,28|78,29|79,5|26,7|30,13|21,8|17,189.0,177.0,64.0,62.0,13.0,24.0,30.0,35.0
4422,2024-02-05 12:20:08,nan,4.0,1.0,5.0,0.0,3.0,1.0,3.0,0.0,,,,,,,,,8.0,5.0,4.0,2.0,5.0,2.0,,,276.0,216.0,25|90,19|98,3|25,1|15,5|8,6|18,243.0,232.0,78.0,65.0,30.0,39.0,16.0,38.0
4423,2024-02-05 12:20:10,nan,7.0,1.0,8.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,12.0,4.0,7.0,3.0,1.0,4.0,,,366.0,352.0,27|51,40|84,9|26,3|15,10|16,12|22,152.0,166.0,48.0,64.0,12.0,17.0,17.0,13.0
4424,2024-02-05 12:20:12,nan,5.0,5.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,,,,,,,6.0,8.0,9.0,3.0,4.0,5.0,,,308.0,132.0,45|110,21|91,8|33,7|18,7|11,9|12,225.0,220.0,75.0,69.0,46.0,37.0,19.0,42.0
4425,2024-02-05 12:20:13,nan,2.0,7.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,,,,,,,6.0,7.0,2.0,4.0,0.0,3.0,,,205.0,228.0,22|84,33|94,3|19,6|19,8|14,6|11,220.0,211.0,70.0,79.0,39.0,43.0,16.0,18.0
4426,2024-02-05 12:20:14,nan,8.0,2.0,6.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,,,,,,,11.0,3.0,6.0,3.0,2.0,3.0,,,334.0,231.0,30|100,31|102,5|38,1|12,7|15,5|8,218.0,200.0,66.0,65.0,36.0,27.0,30.0,38.0
